 ,微积分1,代数与几何,大学物理,概率论与数理统计,大学物理实验,微积分2,近世代数,算法设计与分析,软件构造,形式语言与自动机,数据结构与算法,计算机系统,计算机网络,数据库系统,	综合英语,	学术英语阅读,国际交流英语,学术英语强化训练,心理与心理健康,沟通与交流,歌曲演唱技巧与舞台表演实践,文学名篇名著赏析,思想道德修养与法律基础,中国近现代史纲要,毛泽东思想和中国特色社会主义理论体系概论,马克思主义基本原理概论,习近平新时代中国特色社会主义思想专题辅导
计算机系统,0.07897214810116268,0.06199643937934045,0.06659786962380641,0.05402232684184154,0.05698568553609417,0.08874582660783474,0.1929969774208108,0.12524812857051085,0.14514668833360037,0.12119166486957131,0.12524812857051085,1.0000000000000002,0.5503188827894234,0.5503188827894234,0.06500238507587071,0.05756351776756995,0.057563517767569954,0.05101331036370257,0.04039796643172946,0.05360856874509949,0.03792607053286291,0.04342615791097553,0.044852875079083046,0.05581045370706371,0.04086272136046205,0.04699945041047727,0.03830983755974148
计算机网络,0.07489440831955012,0.05879524309363695,0.06315907773495257,0.05123287516102788,0.05404322034450121,0.08416342133822892,0.18303154693066262,0.11878092096979753,0.13765201534548482,0.11493391343541431,0.11878092096979753,0.5503188827894234,1.0,0.14441029151406348,0.061645976292561,0.054591216114211145,0.05459121611421115,0.04837922974080564,0.03831201082869975,0.050840481531273456,0.03596775167880324,0.041183841145711206,0.042536889539530734,0.05292867180314979,0.038752768060685304,0.044572626102656415,0.03633170283249106
数据库系统,0.07489440831955012,0.05879524309363695,0.06315907773495257,0.05123287516102788,0.05404322034450121,0.08416342133822892,0.18303154693066262,0.11878092096979753,0.13765201534548482,0.11493391343541431,0.11878092096979753,0.5503188827894234,0.14441029151406348,1.0,0.061645976292561,0.054591216114211145,0.05459121611421115,0.04837922974080564,0.03831201082869975,0.050840481531273456,0.03596775167880324,0.041183841145711206,0.042536889539530734,0.05292867180314979,0.038752768060685304,0.044572626102656415,0.03633170283249106
	综合英语,0.37460234836327266,0.29407851172938126,0.31590527745441493,0.2562535145058838,0.27031013006720495,0.3567909079728559,0.0781326475044168,0.05070529088572339,0.05876099816462608,0.049063077351109784,0.05070529088572339,0.06500238507587071,0.061645976292561,0.061645976292561,0.9999999999999999,0.5769521050148866,0.5769521050148868,0.5113001765624793,0.1624147035908191,0.21552619034370138,0.1524767716803047,0.17458914861762884,0.18032507709209078,0.22437857884307943,0.16428318957315285,0.18895510050608944,0.1540196564694128
	学术英语阅读,0.3317328881180877,0.260424192362114,0.2797531049113238,0.2269278845390751,0.23937586223514837,0.3159597874205818,0.06919115410301013,0.04490258179608871,0.052036394632928626,0.04344830303589342,0.04490258179608871,0.05756351776756995,0.054591216114211145,0.054591216114211145,0.5769521050148866,0.9999999999999998,0.5109257561749005,0.6440161709064329,0.1438279790034226,0.19086139182040057,0.13502734315850576,0.15460918159765183,0.1596886909151609,0.19870071374796683,0.1454826356120529,0.16733109519842565,0.1363936603462131
国际交流英语,0.3317328881180877,0.2604241923621141,0.2797531049113238,0.22692788453907514,0.23937586223514848,0.3159597874205818,0.06919115410301015,0.04490258179608872,0.05203639463292863,0.043448303035893435,0.04490258179608872,0.057563517767569954,0.05459121611421115,0.05459121611421115,0.5769521050148868,0.5109257561749005,1.0000000000000004,0.4527870287184488,0.1438279790034226,0.3918191524903533,0.13502734315850579,0.15460918159765186,0.15968869091516094,0.19870071374796686,0.14548263561205294,0.16733109519842568,0.13639366034621314
学术英语强化训练,0.29398468744989326,0.23079027596658874,0.2479197331836946,0.20110554485070337,0.21213705533229502,0.28000642287390304,0.06131782690786436,0.0397930743312895,0.046115123824367985,0.03850427933358388,0.0397930743312895,0.05101331036370257,0.04837922974080564,0.04837922974080564,0.5113001765624793,0.6440161709064329,0.4527870287184488,1.0,0.12746165655670336,0.16914309262155022,0.11966245343003835,0.13701605585964557,0.14151756298357945,0.1760903706552985,0.1289280282170011,0.1482903308189516,0.12087329608620147
心理与心理健康,0.232809505016825,0.1827651990195433,0.19633019279698619,0.1592575543949412,0.167993521281805,0.22173997318114003,0.0485582193241284,0.03151254583538207,0.03651904201020863,0.030491935789033496,0.03151254583538207,0.04039796643172946,0.03831201082869975,0.03831201082869975,0.1624147035908191,0.1438279790034226,0.1438279790034226,0.12746165655670336,1.0000000000000002,0.4339235615355145,0.30698479713042853,0.35150412603128317,0.11206921719353126,0.13944778003948446,0.10209943481192758,0.11743264187059244,0.09572080939207746
沟通与交流,0.30894090610473207,0.2425315331752834,0.2605324368265557,0.21133661684148608,0.2229293459507791,0.2942515093156081,0.06443731872435526,0.04181751283456514,0.04846119116955843,0.040463151497489434,0.04181751283456514,0.05360856874509949,0.050840481531273456,0.050840481531273456,0.21552619034370138,0.19086139182040057,0.3918191524903533,0.16914309262155022,0.4339235615355145,1.0,0.4073723767377879,0.46645004115192185,0.1487171475396393,0.1850488171287433,0.13548713099707146,0.15583447412575105,0.12702262128227795
歌曲演唱技巧与舞台表演实践,0.21856421220881264,0.17158204833606971,0.18431701883639354,0.14951280409327314,0.15771422920420952,0.2081720097726964,0.045587008795340486,0.029584336578983857,0.03428449215166256,0.028626176255003723,0.029584336578983857,0.03792607053286291,0.03596775167880324,0.03596775167880324,0.1524767716803047,0.13502734315850576,0.13502734315850579,0.11966245343003835,0.30698479713042853,0.4073723767377879,0.9999999999999999,0.3299960729207444,0.10521185622121523,0.1309151625333985,0.09585211108550426,0.11024710033291273,0.08986378496555526
文学名篇名著赏析,0.2502606745099936,0.1964650969911156,0.21104690924238675,0.17119534265067748,0.18058614894720523,0.23836138155153744,0.05219809526325975,0.033874695003195274,0.03925647316364129,0.032777581040462474,0.033874695003195274,0.04342615791097553,0.041183841145711206,0.041183841145711206,0.17458914861762884,0.15460918159765183,0.15460918159765186,0.13701605585964557,0.35150412603128317,0.46645004115192185,0.3299960729207444,1.0,0.12046981451480343,0.14990064726558533,0.10975270713829116,0.12623527618385286,0.10289594628609608
思想道德修养与法律基础,0.2584827051477842,0.20291973493964768,0.21798061609504943,0.1768197714790459,0.18651910206623493,0.24619247441428993,0.05391300448473112,0.03498760968988114,0.040546200068257994,0.033854451292151116,0.03498760968988114,0.044852875079083046,0.042536889539530734,0.042536889539530734,0.18032507709209078,0.1596886909151609,0.15968869091516094,0.14151756298357945,0.11206921719353126,0.1487171475396393,0.10521185622121523,0.12046981451480343,1.0,0.2554440441102871,0.18702838096345958,0.29984969811601664,0.2872422410159327
中国近现代史纲要,0.3216301524549211,0.2524931223055584,0.27123338386134715,0.22001692540835496,0.23208580705242737,0.306337412531529,0.06708397701816438,0.04353509931024571,0.0504516559510842,0.042125109779189436,0.04353509931024571,0.05581045370706371,0.05292867180314979,0.05292867180314979,0.22437857884307943,0.19870071374796683,0.19870071374796686,0.1760903706552985,0.13944778003948446,0.1850488171287433,0.1309151625333985,0.14990064726558533,0.2554440441102871,1.0000000000000002,0.3559830252779861,0.3731031214002412,0.3337431139772427
毛泽东思想和中国特色社会主义理论体系概论,0.23548784193497702,0.18486780552545917,0.19858885660660194,0.16108971922601084,0.16992618829223005,0.22429096162277667,0.04911685318010491,0.0318750792074184,0.03693917218669955,0.030842727640610967,0.0318750792074184,0.04086272136046205,0.038752768060685304,0.038752768060685304,0.16428318957315285,0.1454826356120529,0.14548263561205294,0.1289280282170011,0.10209943481192758,0.13548713099707146,0.09585211108550426,0.10975270713829116,0.18702838096345958,0.3559830252779861,1.0000000000000002,0.39824195472447926,0.44824419553362355
马克思主义基本原理概论,0.27085320753997166,0.2126310967309821,0.22841276369777813,0.18528203747404537,0.19544556001621577,0.2579747891805304,0.056493180789242745,0.036662051734729514,0.042486665929027,0.03547466247980604,0.036662051734729514,0.04699945041047727,0.044572626102656415,0.044572626102656415,0.18895510050608944,0.16733109519842565,0.16733109519842568,0.1482903308189516,0.11743264187059244,0.15583447412575105,0.11024710033291273,0.12623527618385286,0.29984969811601664,0.3731031214002412,0.39824195472447926,1.0,0.2561082919859272
习近平新时代中国特色社会主义思想专题辅导,0.22077582381852984,0.17331825595342917,0.18618208930976812,0.15102569703211413,0.15931011087578156,0.21027846457139693,0.04604829546658991,0.02988369511340555,0.03463141070758531,0.02891583933894398,0.02988369511340555,0.03830983755974148,0.03633170283249106,0.03633170283249106,0.1540196564694128,0.1363936603462131,0.13639366034621314,0.12087329608620147,0.09572080939207746,0.12702262128227795,0.08986378496555526,0.10289594628609608,0.2872422410159327,0.3337431139772427,0.44824419553362355,0.2561082919859272,1.0
